fragment_id,length_override,notes
093b4fb6-7a82-4e07-a475-7252c77912f2,15,YP/1
198985d7-db61-4dc7-9fd8-47e3e715029f,17,LHS/0
3f3a6732-d3ae-43e3-82fc-e023c8c5094d,12,EAT/0
40838153-e727-4e22-9494-ee783e092830,20,LAO/0
53b330c0-de84-4e0d-aee1-bf1c68a64059,14,SRX/1
5af57c61-1b5e-4938-b921-0461ef0466b1,15,STS/0
7036d9ec-2ec8-434b-8495-d2734a5c0274,14,DC226/1
719e4ec9-2d09-41b0-bbd1-758a789648f2,11,TCP/0
781fd70f-96d1-4ef2-998d-304cd1d04709,15,CCO/0
7c6c7b53-4b6c-4890-95c5-3b82c237165c,15,CCO/0
7eb02b22-f4ba-4941-ae2c-199532868ae7,15,YP/1
802039f0-55b0-437f-97a8-dae6b2eb3f19,11,TCP/0
856a27fe-b80d-4dcb-ae10-e8128d7f4ae1,15,STS/1
86c3af0d-29cf-4767-b623-8e20855aa567,20,LAO/0
954117ad-9e69-4e88-ae1b-4b52ce1a11a8,15,YP/0
9f491214-f777-46d0-ba7f-74c222a013f4,14,SRX/0
a9c493b6-71ef-4fff-8f1b-3b08a1ee4874,14,SRX/0
a9e510ac-5fd8-464b-9c89-af8838a854fd,20,LAO/0
ba8591ad-ffc6-4b06-9a7f-ea568c3b479b,11,TCP/1
bd34c3ea-3454-441b-86a3-5efd04b733b0,20,LAO/0
d5801c24-1d95-4328-8a76-250eced22490,14,SRX/1
e3b4ba8e-6b76-442d-bf1e-4445d76bb42c,11,TCP/1
