style_id,line_type,color_id,color
geo,comm_loops,0,#868613
geo,comm_loops,1,#ECEC79
geo,comm_loops,2,#B3B319
geo,comm_loops,3,#E6E64C
geo,comm_loops,4,#DFDF20
geo,power_blocks,0,#000099
geo,power_blocks,1,#6666FF
geo,power_blocks,2,#0000CC
geo,power_blocks,3,#3333FF
geo,power_blocks,4,#0000FF
geo,track_fragments,0,#1A1A1A
geo,track_fragments,1,#E6E6E6
geo,track_fragments,2,#4D4D4D
geo,track_fragments,3,#B3B3B3
geo,track_fragments,4,#808080
geo,track_sections,0,#993D00
geo,track_sections,1,#FFA366
geo,track_sections,2,#CC5200
geo,track_sections,3,#FF8533
geo,track_sections,4,#FF6701
geo,tracks,0,#2A7623
geo,tracks,1,#90DC89
geo,tracks,2,#389D2F
geo,tracks,3,#6BD062
geo,tracks,4,#46C43B
schematic,comm_loops,0,#868613
schematic,comm_loops,1,#ECEC79
schematic,comm_loops,2,#B3B319
schematic,comm_loops,3,#E6E64C
schematic,comm_loops,4,#DFDF20
schematic,power_blocks,0,#000099
schematic,power_blocks,1,#6666FF
schematic,power_blocks,2,#0000CC
schematic,power_blocks,3,#3333FF
schematic,power_blocks,4,#0000FF
schematic,track_fragments,0,#1A1A1A
schematic,track_fragments,1,#E6E6E6
schematic,track_fragments,2,#4D4D4D
schematic,track_fragments,3,#B3B3B3
schematic,track_fragments,4,#808080
schematic,track_sections,0,#993D00
schematic,track_sections,1,#FFA366
schematic,track_sections,2,#CC5200
schematic,track_sections,3,#FF8533
schematic,track_sections,4,#FF6701
schematic,tracks,0,#2A7623
schematic,tracks,1,#90DC89
schematic,tracks,2,#389D2F
schematic,tracks,3,#6BD062
schematic,tracks,4,#46C43B
