map_id,reentry_id,geom,rotation
trace-VCC1-1,101,010100000000000000000493400000000000004140,-90
trace-VCC1-1,102,010100000000000000004C93400000000000004140,90
trace-VCC1-1,103,01010000000000000000E2A3400000000000004140,-90
trace-VCC1-1,104,0101000000000000000006A4400000000000004140,90
trace-VCC1-1,114,01010000000000000000FC924000000000002065C0,-90
trace-VCC1-1,115,0101000000000000000044934000000000002065C0,90
trace-VCC1-1,116,01010000000000000000E2A34000000000002065C0,-90
trace-VCC1-1,117,0101000000000000000006A44000000000002065C0,90
trace-VCC1-2,105,010100000000000000002888400000000000004140,-90
trace-VCC1-2,106,01010000000000000000B888400000000000004140,90
trace-VCC1-2,107,010100000000000000004496400000000000004140,-90
trace-VCC1-2,108,010100000000000000008C96400000000000004140,90
trace-VCC1-2,109,01010000000000000000AEA7400000000000004140,-90
trace-VCC1-2,118,0101000000000000000030884000000000000065C0,-90
trace-VCC1-2,119,01010000000000000000C0884000000000000065C0,90
trace-VCC1-2,120,0101000000000000000044964000000000000065C0,-90
trace-VCC1-2,121,010100000000000000008C964000000000000065C0,90
trace-VCC1-2,122,01010000000000000000AEA74000000000000065C0,-90
trace-VCC2-1,110,010100000000000000000022400000000000004140,90
trace-VCC2-1,111,010100000000000000007090400000000000004140,-90
trace-VCC2-1,112,01010000000000000000B890400000000000004140,90
trace-VCC2-1,113,0101000000000000000096A1400000000000004140,-90
trace-VCC2-1,123,0101000000000000000000224000000000000065C0,90
trace-VCC2-1,124,0101000000000000000070904000000000000065C0,-90
trace-VCC2-1,125,01010000000000000000B8904000000000000065C0,90
trace-VCC2-1,126,0101000000000000000096A14000000000000065C0,-90
trace-VCC2-1,201,01010000000000000000BAA1400000000000004140,90
trace-VCC2-1,208,01010000000000000000BAA14000000000000065C0,90
trace-VCC2-2,202,010100000000000000008087400000000000004140,-90
trace-VCC2-2,203,010100000000000000001088400000000000004140,90
trace-VCC2-2,204,010100000000000000009C90400000000000004140,-90
trace-VCC2-2,205,01010000000000000000E890400000000000004140,90
trace-VCC2-2,206,0101000000000000000046A2400000000000004140,-90
trace-VCC2-2,207,010100000000000000006AA2400000000000004140,90
trace-VCC2-2,209,01010000000000000000A0874000000000002065C0,-90
trace-VCC2-2,210,0101000000000000000038884000000000002065C0,90
trace-VCC2-2,211,01010000000000000000A8904000000000002065C0,-90
trace-VCC2-2,212,01010000000000000000F0904000000000002065C0,90
trace-VCC2-2,213,0101000000000000000046A24000000000002065C0,-90
trace-VCC2-2,214,010100000000000000006AA24000000000002065C0,90
trace-VCC2-2,215,0101000000000000000098874000000000000041C0,-90
trace-VCC2-2,216,0101000000000000000028884000000000000041C0,90
trace-VCC2-3,217,01010000000000000000C072400000000000004140,-90
trace-VCC2-3,218,01010000000000000000E073400000000000004140,90
trace-VCC2-3,219,01010000000000000000C0724000000000000065C0,-90
trace-VCC2-3,220,01010000000000000000E0734000000000000065C0,90
trace-VCC2-3,221,010100000000000000008893400000000000004140,-90
trace-VCC2-3,222,01010000000000000000D093400000000000004140,90
trace-VCC2-3,223,0101000000000000000088934000000000000065C0,-90
trace-VCC2-3,224,01010000000000000000D0934000000000000065C0,90
trace-VCC2-3,225,0101000000000000000018A1400000000000004140,-90
trace-VCC2-3,226,0101000000000000000018A14000000000000065C0,-90
trace-VCC2-3,227,010100000000000000003CA1400000000000004140,90
trace-VCC2-3,228,010100000000000000003CA14000000000000065C0,90
trace-VCC2-4,229,01010000000000000000A081400000000000004140,-90
trace-VCC2-4,230,0101000000000000000098814000000000000065C0,-90
trace-VCC2-4,231,010100000000000000003082400000000000004140,90
trace-VCC2-4,232,0101000000000000000028824000000000000065C0,90
trace-VCC2-4,233,01010000000000000000D499400000000000004140,-90
trace-VCC2-4,234,01010000000000000000CC994000000000000065C0,-90
trace-VCC2-4,235,010100000000000000001C9A400000000000004140,90
trace-VCC2-4,236,01010000000000000000149A4000000000000065C0,90
trace-VCC4-1,415,01010000000000000000A0A84000000000006062C0,90
trace-VCC4-1,416,010100000000000000009EA8400000000000004140,90
trace-VCC4-1,417,010100000000000000007CA84000000000006062C0,-90
trace-VCC4-1,418,010100000000000000007AA8400000000000004140,-90
trace-VCC4-1,419,010100000000000000002AA04000000000006062C0,90
trace-VCC4-1,420,010100000000000000002AA0400000000000004140,90
trace-VCC4-1,421,0101000000000000000006A04000000000006062C0,-90
trace-VCC4-1,422,0101000000000000000006A0400000000000004140,-90
trace-VCC4-1,423,01010000000000000000988E4000000000006062C0,90
trace-VCC4-1,424,01010000000000000000988E400000000000004140,90
trace-VCC4-1,425,01010000000000000000088E4000000000006062C0,-90
trace-VCC4-1,426,01010000000000000000088E400000000000004140,-90
trace-VCC4-2,403,0101000000000000000018A74000000000006062C0,90
trace-VCC4-2,404,0101000000000000000018A7400000000000004140,90
trace-VCC4-2,405,01010000000000000000F4A64000000000006062C0,-90
trace-VCC4-2,406,01010000000000000000F4A6400000000000004140,-90
trace-VCC4-2,407,010100000000000000003C9D4000000000006062C0,90
trace-VCC4-2,408,01010000000000000000389D400000000000004140,90
trace-VCC4-2,409,01010000000000000000F49C4000000000006062C0,-90
trace-VCC4-2,410,01010000000000000000F09C400000000000004140,-90
trace-VCC4-2,411,01010000000000000000D8894000000000006062C0,90
trace-VCC4-2,412,01010000000000000000D089400000000000004140,90
trace-VCC4-2,413,0101000000000000000048894000000000006062C0,-90
trace-VCC4-2,414,010100000000000000004089400000000000004140,-90
trace-VCC4-3,237,01010000000000000000CCA24000000000006062C0,90
trace-VCC4-3,238,01010000000000000000CCA2400000000000004140,90
trace-VCC4-3,239,01010000000000000000A8A24000000000006062C0,-90
trace-VCC4-3,240,01010000000000000000A8A2400000000000004140,-90
trace-VCC4-3,241,01010000000000000000C0974000000000006062C0,90
trace-VCC4-3,242,01010000000000000000BC97400000000000004140,90
trace-VCC4-3,243,0101000000000000000078974000000000006062C0,-90
trace-VCC4-3,244,010100000000000000007497400000000000004140,-90
trace-VCC4-3,245,01010000000000000000D0834000000000006062C0,90
trace-VCC4-3,246,01010000000000000000B883400000000000004140,90
trace-VCC4-3,401,0101000000000000000040834000000000006062C0,-90
trace-VCC4-3,402,010100000000000000002883400000000000004140,-90
