map_id,substation_id,geom
trace-VCC1-1,MNZ,0101000000000000000096A1400000000000C050C0
trace-VCC1-1,STZ,010100000000000000002093400000000000C050C0
trace-VCC1-1,WFZ,01010000000000000000D07D400000000000C050C0
trace-VCC1-2,BWZ,010100000000000000007076400000000000C050C0
trace-VCC1-2,JYZ,01010000000000000000FCA5400000000000C050C0
trace-VCC1-2,NAZ,01010000000000000000D498400000000000C050C0
trace-VCC2-1,PTZ,010100000000000000003088400000000000C050C0
trace-VCC2-1,ROZ,01010000000000000000089F400000000000C050C0
trace-VCC2-2,EDZ,01010000000000000000F0714000000000000051C0
trace-VCC2-2,NWZ,01010000000000000000F6A54000000000000051C0
trace-VCC2-2,TSZ,01010000000000000000B09A4000000000000051C0
trace-VCC2-3,COZ,010100000000000000003085400000000000C050C0
trace-VCC2-3,SRZ,01010000000000000000049F400000000000C050C0
trace-VCC2-4,GWZ,01010000000000000000D073400000000000C050C0
trace-VCC2-4,KGZ,010100000000000000005899400000000000C050C0
trace-VCC4-1,CMZ,01010000000000000000107C400000000000004CC0
trace-VCC4-1,GMZ,010100000000000000008CA3400000000000004CC0
trace-VCC4-1,REZ,010100000000000000003897400000000000004CC0
trace-VCC4-2,HOZ,01010000000000000000F075400000000000004CC0
trace-VCC4-2,LCZ,01010000000000000000889E400000000000004CC0
trace-VCC4-2,PWZ,01010000000000000000B0A5400000000000004CC0
trace-VCC4-3,BDZ,010100000000000000003C91400000000000004CC0
trace-VCC4-3,SAZ,01010000000000000000809E400000000000004CC0
