map_id,source_id,geom,rotation
trace-VCC1-1,55954054-e924-4315-87b5-3a9bcafec62f,010100000000000000005AA1400000000000C050C0,0
trace-VCC1-1,7afd2963-8bab-47d5-b691-2d783c6a996c,01010000000000000000F07B400000000000C050C0,0
trace-VCC1-1,bd3ac5f2-6331-42a2-a04b-d030e47dafba,01010000000000000000A892400000000000C050C0,0
trace-VCC1-2,4539e2d0-efef-440e-a3c6-00dcb26cd86f,01010000000000000000C0A5400000000000C050C0,0
trace-VCC1-2,47ce8edc-354e-4ea8-bf2d-f246fb3956a6,010100000000000000005C98400000000000C050C0,0
trace-VCC1-2,a342a696-3564-4ded-959c-34038de81604,010100000000000000009074400000000000C050C0,0
trace-VCC2-1,093db513-3c5e-4aa3-a918-29604b063fb2,010100000000000000004087400000000000C050C0,0
trace-VCC2-1,e638b99b-2308-43ef-b039-0db5e72fb988,01010000000000000000909E400000000000C050C0,0
trace-VCC2-2,53f8d514-2840-488a-96a4-3957facf19c3,0101000000000000000010704000000000000051C0,0
trace-VCC2-2,556eb708-be68-46aa-9a9f-f73c863670c1,01010000000000000000BAA54000000000000051C0,0
trace-VCC2-2,dea0036a-0a55-48dd-895f-1c8e69cf1ea6,01010000000000000000389A4000000000000051C0,0
trace-VCC2-3,780dfe79-aaf1-4385-8e1f-4af0cbd938f8,010100000000000000004084400000000000C050C0,0
trace-VCC2-3,9f1c1dff-04a7-4232-b805-35503d8cb4c6,01010000000000000000E49F400000000000C050C0,0
trace-VCC2-4,7cfdd6bb-6471-4586-a5e1-5cab5cb2167e,01010000000000000000E098400000000000C050C0,0
trace-VCC2-4,f86abb13-cbee-4c93-a967-6f1b66a6ca45,01010000000000000000F077400000000000C050C0,0
trace-VCC4-1,0261de3c-1fea-488b-846a-8d094ed7ea9d,01010000000000000000C096400000000000004CC0,0
trace-VCC4-1,1635fc0b-e43f-40bf-8f6e-4c9c8b12b51f,0101000000000000000050A3400000000000004CC0,0
trace-VCC4-1,82591d66-33ac-452e-9427-1f987734dc59,010100000000000000000880400000000000004CC0,0
trace-VCC4-2,2d8a420b-7446-4d4f-b858-f801b66801b4,01010000000000000000109E400000000000004CC0,0
trace-VCC4-2,78773a1a-d628-4ee3-a662-63813d452d6f,0101000000000000000074A5400000000000004CC0,0
trace-VCC4-2,da7bef01-6b1b-4589-9409-58a2f96777f8,010100000000000000001074400000000000004CC0,0
trace-VCC4-3,093a5c53-1508-416d-8943-3b2add426d26,01010000000000000000089E400000000000004CC0,0
trace-VCC4-3,8558bffc-6bb8-469d-a7e5-d2238fe8f7d8,01010000000000000000C490400000000000004CC0,0
