node_id,marker_id,notes
047ca32d-afe2-42e5-b4cd-10f2b538dcde,BTB,NULL
ee98148a-9add-4c5a-a74a-fd2fa326b5e5,C1B,NULL
1af6d1dd-3083-493b-a655-29e0aa8d1aed,C1E,NULL
e683b785-1a35-42dd-a6f2-dd4714d51ded,C2B,NULL
b16b44fd-e15e-4125-a458-5d9f0a3d248c,C2E,NULL
aeae2a5f-2915-4409-8093-ede8dc87de65,CTB,NULL
4bf68ef0-ccab-446d-979f-25a785ee505a,CU1,NULL
46edee4f-2535-48ee-af90-0d27e12ed35d,EN1,NULL
a5b24072-2222-4d39-883c-6260a1222dfe,EX1,NULL
74d8ec89-1175-4907-a47a-9ed2d9d135b1,HOP,NULL
833ab1f3-be49-4b90-be42-05aa048a4d99,KTB,NULL
d8b43142-9ee8-4379-87c7-122fca982e20,LTI,NULL
67741370-d2d8-4efc-bf8c-1cd815809f72,LTO,NULL
12d6caf2-329e-4b8b-8b0d-977600ff1296,MCP,NULL
305fa4b2-723f-4498-a71e-4f64052eff61,MK1,NULL
9630a630-f572-49a6-beb6-e07de4009444,MK2,NULL
33e2381a-5a87-4c19-9e1d-a58e0f66b3fc,MK3,NULL
a44881e7-4ed3-4735-ab01-23da1f9f8337,MTB,NULL
9707cc95-cd87-4848-8951-c041c7c5e241,SRX,NULL
b1d6c684-909a-4727-a1ae-709ec6f97f1d,STB,NULL
80c718fe-54c3-4d91-b216-77d2a36bccde,TCP,NULL
656b3428-5dd7-41b9-b346-c94f77165e84,UN1,NULL
f659bf7e-b38d-4620-affa-1ec1efd7cd78,VTB,NULL
8b3e8f15-3532-43f2-b802-4fdd26cd8275,WTB,NULL
b9ebaceb-9f67-4e09-a6d6-f6b9b0bd362f,YP1,NULL
9aafd196-aa3d-4660-9d0e-79f117c9334e,YP2,NULL
5161a678-7e6b-4940-aff5-6fadc2748499,YP3,NULL
9b57f680-6d9f-4d2d-9efb-58f71f3ffda5,YP4,NULL
4c57a971-ca93-49ee-a3f3-9c3bfb7a8e92,YP5,NULL
